treatment	sap	SFW	panicle	root
Conv	0.48	10.38	13	197
Org	0.54	11.42	16	352
Org	1.38	12.81	11	249
Org	7.44	23.64	21	490
Conv	1.44	26.93	28	562
Conv	1.29	33.89	29	784
Conv	1.77	11.47	19	315
Conv	1.02	8.65	14	367
Org	2.56	20.68	24	471
Org	1.10	8.57	15	253
Conv	0.81	62.00	16	271
Conv	0.78	24.73	23	398
Org	1.08	25.87	26	368
Org	2.40	16.83	16	304
Org	1.23	9.76	17	292
Conv	0.78	22.41	25	522
Conv	0.84	24.77	23	481
Conv	1.59	15.70	18	441
Conv	1.14	34.45	27	767
Org	1.89	14.51	22	328
Org	1.41	12.62	15	271
Org	1.02	12.28	18	249
